episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,policy_reward_min/policy_0,policy_reward_min/policy_1,policy_reward_min/policy_2,policy_reward_max/policy_0,policy_reward_max/policy_1,policy_reward_max/policy_2,policy_reward_mean/policy_0,policy_reward_mean/policy_1,policy_reward_mean/policy_2,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/policy_0/cur_kl_coeff,info/learner/policy_0/cur_lr,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_explained_var,info/learner/policy_0/kl,info/learner/policy_0/entropy,info/learner/policy_0/entropy_coeff,info/learner/policy_1/cur_kl_coeff,info/learner/policy_1/cur_lr,info/learner/policy_1/total_loss,info/learner/policy_1/policy_loss,info/learner/policy_1/vf_loss,info/learner/policy_1/vf_explained_var,info/learner/policy_1/kl,info/learner/policy_1/entropy,info/learner/policy_1/entropy_coeff,info/learner/policy_2/cur_kl_coeff,info/learner/policy_2/cur_lr,info/learner/policy_2/total_loss,info/learner/policy_2/policy_loss,info/learner/policy_2/vf_loss,info/learner/policy_2/vf_explained_var,info/learner/policy_2/kl,info/learner/policy_2/entropy,info/learner/policy_2/entropy_coeff
0.0,0.0,0.0,74.125,16,2000,False,2000,16,1,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-46-20,1648565180,13.77591061592102,13.77591061592102,15712,d30d74f2ddad,172.17.0.3,13.77591061592102,2000,1,10,eb2e2dd4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8515286368517145,0.9014400380167795,5.016390882914338,2000,2000,3527.987,800.619,3836.013,5067.626,0.20000000298023224,0.0002500000118743628,-0.237951397895813,-0.2108442485332489,4.50399693363579e-06,0.4599650204181671,0.011101784184575081,2.933204174041748,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.23034901916980743,-0.20315837860107422,3.925532837456558e-06,0.2824549674987793,0.010710364207625389,2.9336626529693604,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.23526857793331146,-0.20815259218215942,4.489911134442082e-06,0.4528573155403137,0.011062548495829105,2.933300495147705,0.009999999776482582
0.0,0.0,0.0,82.37931034482759,13,2000,False,4000,29,2,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-46-25,1648565185,5.5385754108428955,19.314486026763916,15712,d30d74f2ddad,172.17.0.3,19.314486026763916,4000,2,10,eb2e2dd4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.671341970941298,0.8970188408356494,4.853347184630941,4000,4000,3026.313,493.246,3290.187,2561.661,0.20000000298023224,0.0002500000118743628,-0.2619565725326538,-0.2354723960161209,6.226743494153197e-07,0.45157021284103394,0.013622161000967026,2.9209210872650146,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.2632237672805786,-0.2369060218334198,4.890446234639967e-07,0.38241562247276306,0.014475200325250626,2.921326160430908,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.2571074366569519,-0.23076309263706207,5.142384793543897e-07,0.48712730407714844,0.014310002326965332,2.9206860065460205,0.009999999776482582
0.0,-3.0,-0.06382978723404255,106.91489361702128,18,2000,False,6000,47,3,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-46-31,1648565191,5.770618438720703,25.08510446548462,15712,d30d74f2ddad,172.17.0.3,25.08510446548462,6000,3,10,eb2e2dd4,-1.0,-1.0,-1.0,0.0,0.0,0.0,-0.02127659574468085,-0.02127659574468085,-0.02127659574468085,6.646376222301129,0.8797973457807343,4.737824243269835,6000,6000,2912.872,393.565,3119.269,1734.867,0.20000000298023224,0.0002500000118743628,-0.09501498192548752,-0.0686522051692009,0.0011209137737751007,0.7113315463066101,0.008530616760253906,2.9189815521240234,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.09518106281757355,-0.06882724910974503,0.0010881740599870682,0.7405481934547424,0.008761333301663399,2.919423818588257,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.09499641507863998,-0.06847687065601349,0.0008665125933475792,0.7587049007415771,0.008991552516818047,2.9184367656707764,0.009999999776482582
0.0,-3.0,-0.04411764705882353,101.94117647058823,21,2000,False,8000,68,4,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-46-37,1648565197,5.6142284870147705,30.69933295249939,15712,d30d74f2ddad,172.17.0.3,30.69933295249939,8000,4,10,eb2e2dd4,-1.0,-1.0,-1.0,0.0,0.0,0.0,-0.014705882352941176,-0.014705882352941176,-0.014705882352941176,6.6375021632674605,0.8995241749389813,4.648524998179904,8000,8000,2865.156,343.298,2989.743,1318.068,0.20000000298023224,0.0002500000118743628,-0.2573791444301605,-0.23172211647033691,0.0002541961439419538,0.7094897627830505,0.015827249735593796,2.9076671600341797,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.2580604553222656,-0.23244494199752808,0.00025262089911848307,0.6147361993789673,0.016139831393957138,2.9096102714538574,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.2589578926563263,-0.23348194360733032,0.0003091214457526803,0.6962876319885254,0.01650158502161503,2.908543348312378,0.009999999776482582
0.0,-3.0,-0.03125,95.48958333333333,28,2000,False,10000,96,5,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-46-43,1648565203,5.551168441772461,36.25050139427185,15712,d30d74f2ddad,172.17.0.3,36.25050139427185,10000,5,10,eb2e2dd4,-1.0,-1.0,-1.0,0.0,0.0,0.0,-0.010416666666666666,-0.010416666666666666,-0.010416666666666666,6.57996872752886,0.9062716141477223,4.57222788956654,10000,10000,2807.943,312.16,2928.885,1069.665,0.20000000298023224,0.0002500000118743628,-0.25692862272262573,-0.23155546188354492,9.033245441969484e-05,0.27510809898376465,0.017487073317170143,2.8960938453674316,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.2573072910308838,-0.23209430277347565,6.0693491832353175e-05,0.07932648062705994,0.018573926761746407,2.898845911026001,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.25683295726776123,-0.2316005676984787,0.0001378215674776584,0.4035762846469879,0.018037129193544388,2.8977649211883545,0.009999999776482582
0.0,-3.0,-0.06,98.81,22,2000,False,12000,118,6,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-46-48,1648565208,5.368893384933472,41.61939477920532,15712,d30d74f2ddad,172.17.0.3,41.61939477920532,12000,6,10,eb2e2dd4,-1.0,-1.0,-1.0,0.0,0.0,0.0,-0.02,-0.02,-0.02,6.51723456433406,0.9005707854176191,4.455779074223608,12000,12000,2758.502,290.856,2871.957,901.816,0.20000000298023224,0.0002500000118743628,-0.10685347765684128,-0.08119788765907288,0.0011137702967971563,0.7435131669044495,0.011003086343407631,2.8969969749450684,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.10105997323989868,-0.07519588619470596,0.0010487185791134834,0.7653645873069763,0.010377858765423298,2.8988380432128906,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.10754838585853577,-0.08199069648981094,0.0012938547879457474,0.7037234306335449,0.010654828511178493,2.89825177192688,0.009999999776482582
3.0,-3.0,0.0,88.35,21,2000,False,14000,139,7,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-46-54,1648565214,5.460267782211304,47.079662561416626,15712,d30d74f2ddad,172.17.0.3,47.079662561416626,14000,7,10,eb2e2dd4,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.508012426590348,0.9046702115780326,4.410128065093629,14000,14000,2730.349,276.555,2837.907,779.541,0.20000000298023224,0.0002500000118743628,-0.1819917857646942,-0.15883348882198334,0.002340068109333515,0.5436029434204102,0.017013903707265854,2.8901138305664062,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.18216544389724731,-0.1589924842119217,0.002331806579604745,0.5176980495452881,0.017124652862548828,2.892970323562622,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.18814843893051147,-0.16532544791698456,0.002668608445674181,0.4936106503009796,0.017034849151968956,2.889857053756714,0.009999999776482582
3.0,-3.0,0.0,92.78,15,2000,False,16000,154,8,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-46-59,1648565219,5.556101322174072,52.6357638835907,15712,d30d74f2ddad,172.17.0.3,52.6357638835907,16000,8,10,eb2e2dd4,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.491427540742438,0.8936048380598836,4.392033235150849,16000,16000,2727.265,265.823,2805.767,688.521,0.20000000298023224,0.0002500000118743628,-0.25870829820632935,-0.23452019691467285,0.00033713242737576365,0.6147789359092712,0.021291498094797134,2.878354072570801,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.260105162858963,-0.2357717901468277,0.00025169149739667773,0.7067518830299377,0.02135811373591423,2.8856682777404785,0.009999999776482582,0.20000000298023224,0.0002500000118743628,-0.25698012113571167,-0.2327430546283722,0.0002617209975142032,0.6836143732070923,0.021457713097333908,2.879033327102661,0.009999999776482582
3.0,-3.0,0.03,95.66,19,2000,False,18000,173,9,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-47-05,1648565225,5.617326021194458,58.253089904785156,15712,d30d74f2ddad,172.17.0.3,58.253089904785156,18000,9,10,eb2e2dd4,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.01,0.01,0.01,6.497592382450701,0.8835701539628663,4.384362036150655,18000,18000,2726.75,256.393,2786.157,617.512,0.30000001192092896,0.0002500000118743628,-0.12180477380752563,-0.0999244973063469,0.0028483914211392403,0.24151210486888885,0.013625739142298698,2.8816423416137695,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.12415698170661926,-0.10264787822961807,0.0028647705912590027,0.26508674025535583,0.014893478713929653,2.8841922283172607,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.12128285318613052,-0.09957063943147659,0.0029023373499512672,-0.042144253849983215,0.014042841270565987,2.8827404975891113,0.009999999776482582
3.0,-3.0,0.06,100.94,20,2000,False,20000,193,10,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-47-10,1648565230,5.5302629470825195,63.783352851867676,15712,d30d74f2ddad,172.17.0.3,63.783352851867676,20000,10,10,eb2e2dd4,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.02,0.02,0.02,6.513709574979462,0.8783659602574742,4.382873991367525,20000,20000,2721.993,248.858,2765.202,562.347,0.30000001192092896,0.0002500000118743628,-0.19323502480983734,-0.17045119404792786,0.0009103222982957959,0.1369580626487732,0.0168243870139122,2.8741486072540283,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.19201070070266724,-0.16949352622032166,0.0009408045443706214,0.22362762689590454,0.017784737050533295,2.8793392181396484,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.19180205464363098,-0.1692275106906891,0.0009510738891549408,0.23079553246498108,0.0174648966640234,2.8765077590942383,0.009999999776482582
3.0,-3.0,0.09,105.73,15,2000,False,22000,208,11,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-47-16,1648565236,5.60192084312439,69.38527369499207,15712,d30d74f2ddad,172.17.0.3,69.38527369499207,22000,11,10,eb2e2dd4,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.03,0.03,0.03,6.49859204430053,0.8808600706112785,4.385952995740178,22000,22000,2646.703,187.258,2637.845,61.44,0.30000001192092896,0.0002500000118743628,-0.1161908209323883,-0.0935826450586319,0.0021879379637539387,0.4413878917694092,0.013271791860461235,2.877765655517578,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.1193375363945961,-0.09681791067123413,0.002257530577480793,0.41349565982818604,0.013432158157229424,2.8806796073913574,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.11491960287094116,-0.09278146922588348,0.0027239734772592783,0.2282007783651352,0.013037082739174366,2.8773245811462402,0.009999999776482582
3.0,0.0,0.12,108.79,20,2000,False,24000,228,12,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-47-22,1648565242,5.596388578414917,74.98166227340698,15712,d30d74f2ddad,172.17.0.3,74.98166227340698,24000,12,10,eb2e2dd4,0.0,0.0,0.0,1.0,1.0,1.0,0.04,0.04,0.04,6.502481515173665,0.881709862085073,4.389187663097342,24000,24000,2655.633,195.514,2624.873,63.62,0.30000001192092896,0.0002500000118743628,-0.2559891641139984,-0.23379088938236237,0.0002204988122684881,0.369157075881958,0.02076822705566883,2.8649215698242188,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.2582489252090454,-0.23628874123096466,0.00022153669851832092,0.3830104470252991,0.021592698991298676,2.865954875946045,0.009999999776482582,0.30000001192092896,0.0002500000118743628,-0.25308021903038025,-0.2311137616634369,0.00023376224271487445,0.5267231464385986,0.021547049283981323,2.8664326667785645,0.009999999776482582
3.0,0.0,0.12,109.13,14,2000,False,26000,242,13,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-47-28,1648565248,5.78383207321167,80.76549434661865,15712,d30d74f2ddad,172.17.0.3,80.76549434661865,26000,13,10,eb2e2dd4,0.0,0.0,0.0,1.0,1.0,1.0,0.04,0.04,0.04,6.493463954429965,0.8806415697076955,4.382262194629115,26000,26000,2663.783,194.262,2622.062,60.626,0.44999998807907104,0.0002500000118743628,-0.10639688372612,-0.08522329479455948,0.0024348872248083353,0.396418035030365,0.01136622205376625,2.872328042984009,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.10689617693424225,-0.08592817932367325,0.002614130498841405,0.3417329788208008,0.011440452188253403,2.873033046722412,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.11203381419181824,-0.09095706790685654,0.002280298387631774,0.42209574580192566,0.011898915283381939,2.8711555004119873,0.009999999776482582
3.0,0.0,0.09,111.46,23,2000,False,28000,265,14,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-47-33,1648565253,5.620183944702148,86.3856782913208,15712,d30d74f2ddad,172.17.0.3,86.3856782913208,28000,14,10,eb2e2dd4,0.0,0.0,0.0,1.0,1.0,1.0,0.03,0.03,0.03,6.466519861044276,0.8819729373177961,4.386716299761694,28000,28000,2666.458,194.639,2619.668,61.56,0.44999998807907104,0.0002500000118743628,-0.24857643246650696,-0.22919750213623047,0.00036454948713071644,0.4130356013774872,0.01971515081822872,2.86152982711792,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.2507070302963257,-0.23076441884040833,0.00026980924303643405,0.4843447804450989,0.018796822056174278,2.867098331451416,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.24577447772026062,-0.22618022561073303,0.0003911597887054086,0.440419465303421,0.01917668618261814,2.8614907264709473,0.009999999776482582
3.0,0.0,0.06,109.29,15,2000,False,30000,280,15,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-47-39,1648565259,5.862478256225586,92.24815654754639,15712,d30d74f2ddad,172.17.0.3,92.24815654754639,30000,15,10,eb2e2dd4,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.02,0.02,6.436238188151717,0.882844610855143,4.385935226430582,30000,30000,2698.719,195.138,2621.312,58.278,0.44999998807907104,0.0002500000118743628,-0.2536814212799072,-0.23431989550590515,7.117091445252299e-05,0.3308461904525757,0.020138120278716087,2.849484920501709,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.2575536370277405,-0.23795506358146667,5.584543396253139e-05,0.3890250027179718,0.01984560675919056,2.858494997024536,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.2531466782093048,-0.2336675524711609,6.391831993823871e-05,0.32011789083480835,0.019998520612716675,2.854236602783203,0.009999999776482582
3.0,0.0,0.09,105.67,25,2000,False,32000,305,16,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-47-45,1648565265,5.546047210693359,97.79420375823975,15712,d30d74f2ddad,172.17.0.3,97.79420375823975,32000,16,10,eb2e2dd4,0.0,0.0,0.0,1.0,1.0,1.0,0.03,0.03,0.03,6.463175573028588,0.8810368882802543,4.3953828565586885,32000,32000,2715.506,196.003,2620.17,59.456,0.675000011920929,0.0002500000118743628,-0.1001436784863472,-0.08309004455804825,0.004814045038074255,0.39521288871765137,0.00988897867500782,2.8542747497558594,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.10106352716684341,-0.08314644545316696,0.00516157690435648,0.3481002748012543,0.01230523083359003,2.8616020679473877,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.10136455297470093,-0.08363761007785797,0.0053407130762934685,0.2929859161376953,0.012196472845971584,2.8556067943573,0.009999999776482582
3.0,0.0,0.12,99.25,24,2000,False,34000,329,17,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-47-51,1648565271,5.748265981674194,103.54246973991394,15712,d30d74f2ddad,172.17.0.3,103.54246973991394,34000,17,10,eb2e2dd4,0.0,0.0,0.0,1.0,1.0,1.0,0.04,0.04,0.04,6.469266316630823,0.8862116225001319,4.400046529206939,34000,34000,2739.809,196.366,2619.922,63.806,0.675000011920929,0.0002500000118743628,-0.18805575370788574,-0.17247670888900757,0.002474609762430191,0.3760325014591217,0.015379630960524082,2.843488931655884,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.18543262779712677,-0.16681426763534546,0.0022528476547449827,0.4173251688480377,0.016976531594991684,2.851065158843994,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.18022552132606506,-0.16179797053337097,0.002519126981496811,0.3553153872489929,0.01668160781264305,2.845339298248291,0.009999999776482582
3.0,0.0,0.09,100.88,12,2000,False,36000,341,18,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-47-56,1648565276,5.474172115325928,109.01664185523987,15712,d30d74f2ddad,172.17.0.3,109.01664185523987,36000,18,10,eb2e2dd4,0.0,0.0,0.0,1.0,1.0,1.0,0.03,0.03,0.03,6.474376354494915,0.8847405632168248,4.4037192703444425,36000,36000,2724.99,195.609,2625.077,65.986,0.675000011920929,0.0002500000118743628,-0.2510973811149597,-0.23514199256896973,0.00022258270473685116,0.42858588695526123,0.018223494291305542,2.847881555557251,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.2521703839302063,-0.23291641473770142,0.0002953338553197682,0.4483012855052948,0.019883975386619568,2.8497114181518555,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.2546134293079376,-0.23558369278907776,0.00022752791119273752,0.26790547370910645,0.020415760576725006,2.8444342613220215,0.009999999776482582
3.0,0.0,0.15,93.65,22,2000,False,38000,363,19,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-48-02,1648565282,5.733647346496582,114.75028920173645,15712,d30d74f2ddad,172.17.0.3,114.75028920173645,38000,19,10,eb2e2dd4,0.0,0.0,0.0,1.0,1.0,1.0,0.05,0.05,0.05,6.485153551345962,0.8883694910225896,4.407199279768779,38000,38000,2735.358,196.331,2624.435,67.689,0.675000011920929,0.0002500000118743628,-0.11688419431447983,-0.100491963326931,0.004615355748683214,0.421314537525177,0.011003993451595306,2.843528985977173,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.12247150391340256,-0.10461874306201935,0.004435082897543907,0.4249197840690613,0.013849510811269283,2.852012872695923,0.009999999776482582,0.675000011920929,0.0002500000118743628,-0.11335468292236328,-0.09652704000473022,0.004000272136181593,0.5131949782371521,0.011280827224254608,2.8442487716674805,0.009999999776482582
3.0,0.0,0.15,100.04,24,2000,False,40000,387,20,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-48-07,1648565287,5.5777411460876465,120.3280303478241,15712,d30d74f2ddad,172.17.0.3,120.3280303478241,40000,20,10,eb2e2dd4,0.0,0.0,0.0,1.0,1.0,1.0,0.05,0.05,0.05,6.496123101533401,0.8949284850690009,4.402267343862935,40000,40000,2735.324,196.711,2628.595,68.271,0.675000011920929,0.0002500000118743628,-0.2435094118118286,-0.22740724682807922,0.0005005354760214686,0.34727466106414795,0.017389066517353058,2.8340322971343994,0.009999999776482582,0.44999998807907104,0.0002500000118743628,-0.2441772073507309,-0.22554901242256165,0.0005241698818281293,0.36409828066825867,0.02047385461628437,2.8365590572357178,0.009999999776482582,0.675000011920929,0.0002500000118743628,-0.24336454272270203,-0.22742165625095367,0.0005172928795218468,0.34290915727615356,0.017587576061487198,2.833179235458374,0.009999999776482582
3.0,0.0,0.09,97.94,11,2000,False,42000,398,21,048bf5f142634de2b1fe67af9a20af00,2022-03-29_14-48-13,1648565293,5.539483547210693,125.86751389503479,15712,d30d74f2ddad,172.17.0.3,125.86751389503479,42000,21,10,eb2e2dd4,0.0,0.0,0.0,1.0,1.0,1.0,0.03,0.03,0.03,6.494982661653096,0.8951381427951123,4.406140941228349,42000,42000,2720.081,196.269,2638.008,67.593,0.675000011920929,0.0002500000118743628,-0.24973158538341522,-0.234013631939888,0.00010122508683707565,0.1978382021188736,0.018649684265255928,2.840773582458496,0.009999999776482582,0.675000011920929,0.0002500000118743628,-0.2507668435573578,-0.23464764654636383,0.00012054116814397275,0.23470184206962585,0.01806112751364708,2.8431005477905273,0.009999999776482582,0.675000011920929,0.0002500000118743628,-0.2517092227935791,-0.23623856902122498,0.0001228594483109191,0.20448541641235352,0.018998291343450546,2.841736078262329,0.009999999776482582
